,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
eden,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
worm,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
proceed,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
wave,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
yearn,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
crush,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
serious,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,,,
junctur,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
reconsid,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
drag,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
pillow,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,,,,,,,,,,,,,,,,,,,,,,,
laughter,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,,,
birthday,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
o'er,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
remitt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
querul,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
mail,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
exchang,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,,,,,,,,,,,,,,,,,,,,,,,
perspir,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
scotch,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
twelv,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,,,,,,,,,,,,,,,,,,,
modest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
apropo,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
lightli,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
tallow,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
parsee',/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
matrimoni,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,,,
add,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
contract,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,,,,,,,,,,,,,,,,,,,,,,,
elast,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
screw,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
older,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,,,,,,,,,,,,,,,,,,,,,,,
sink,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
chummeri,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
twentieth,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
bridesmaid,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
trod,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,,,,,,,,,,,,,,,,,,,,,,,
abil,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
unprovid,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
barrack,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
disinclin,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,,
jest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,,
remain,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
insens,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
charley,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
sarcasm,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
crave,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
clean,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,,,,
lovingli,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
mcintosh,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
edg,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
grubbi,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
citi,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
colleg,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
materi,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
monument,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
stir,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
horac,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
hidden,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
guest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
trader,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
murad,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
liar,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,,,,,
cultur,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
butcher,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
mirza,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
abomin,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,
symonds',/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
rave,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
poach,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
greek,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,,,,,
pulp,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
rare,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
premis,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
ali,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
prejudic,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
camel,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
centr,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
filthi,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
vers,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
sip,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
gunni,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
drank,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,
torn,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
destroy,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
robe,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
redeem,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
highest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
expurg,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
illustr,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
damnat,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
asleep,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
mesopotamia,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
fast,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
uttermost,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
famou,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
visit,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
useless,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,,,,,,,,,,,,,,,,,,,,,,,
depth,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
ala,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
jargon,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
grip,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
chest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
miscellan,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
sober,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
quotat,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
tether,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
bah,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
thickli,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
bedstead,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
collaps,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
shaken,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
asia,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,,,,
prayer,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
mutin,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
calydon,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
religion,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
samovar,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
fur,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
'i,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
gang,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
shine,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
maturin,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
currenc,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
qualm,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
stupor,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
shaki,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
bag,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
fore,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
mumbl,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
jullundur,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
symond,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
garbag,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
ration,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
conced,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
classic,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
crawl,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,
martyr,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
nonsens,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
hospit,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
untouch,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
gross,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
writh,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
hopeless,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
platter,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
mull,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
number,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
bestial,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
german,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
phenomen,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,,,,
lowest,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,,
crude,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
